symbol,exchange,name
033500,KRX,동성화인텍
033530,KRX,SJG세종
033540,KRX,파라텍
033560,KRX,블루콤
033640,KRX,네패스
033780,KRX,KT&G
033790,KRX,피노
033830,KRX,티비씨
033920,KRX,무학
034020,KRX,두산에너빌리티
034120,KRX,SBS
034220,KRX,LG디스플레이
034230,KRX,파라다이스
034310,KRX,NICE
034590,KRX,인천도시가스
034730,KRX,SK
034810,KRX,해성산업
034830,KRX,한국토지신탁
034940,KRX,조아제약
034950,KRX,한국기업평가
035000,KRX,HS애드
035080,KRX,그래디언트
035150,KRX,백산
035200,KRX,프럼파스트
035250,KRX,강원랜드
035290,KRX,골드앤에스
035420,KRX,NAVER
035460,KRX,기산텔레콤
035510,KRX,신세계 I&C
035600,KRX,KG이니시스
035610,KRX,솔본
035620,KRX,바른손이앤에이
035720,KRX,카카오
035760,KOSDAQ GLOBAL,CJ ENM
035810,KRX,이지홀딩스
035890,KRX,서희건설
035900,KOSDAQ GLOBAL,JYP Ent.
036000,KRX,예림당
036010,KRX,아비코전자
036030,KRX,케이티알파
036090,KRX,위지트
036120,KRX,서울평가정보
036170,KRX,에이치엠넥스
036180,KRX,지더블유바이텍
036190,KRX,금화피에스시
036200,KRX,유니셈
036220,KRX,오상헬스케어
036420,KRX,콘텐트리중앙
036460,KRX,한국가스공사
036480,KRX,대성미생물
036530,KRX,SNT홀딩스
036540,KRX,SFA반도체
036560,KRX,KZ정밀
036570,KRX,엔씨소프트
036580,KRX,팜스코
036620,KRX,감성코퍼레이션
036630,KRX,세종텔레콤
036640,KRX,HRS
036670,KRX,삼양케이씨아이
036690,KRX,코맥스
036710,KRX,심텍홀딩스
036800,KRX,나이스정보통신
036810,KRX,에프에스티
036830,KOSDAQ GLOBAL,솔브레인홀딩스
036890,KRX,진성티이씨
036930,KOSDAQ GLOBAL,주성엔지니어링
037030,KRX,파워넷
037070,KRX,파세코
037230,KRX,한국팩키지
037270,KRX,YG PLUS
037330,KRX,인지디스플레
037350,KRX,성도이엔지
037370,KRX,EG
037400,KRX,우리엔터프라이즈
037440,KRX,희림
037460,KRX,삼지전자
037560,KRX,LG헬로비전
037710,KRX,광주신세계
037760,KRX,쎄니트
037950,KRX,엘컴텍
038010,KRX,제일테크노스
038060,KRX,루멘스
038070,KRX,서린바이오
038110,KRX,에코플라스틱
038290,KRX,마크로젠
038390,KRX,레드캡투어
038460,KRX,바이오스마트
038500,KRX,삼표시멘트
038530,KRX,케이바이오
038540,KRX,상상인
038620,KRX,위즈코프
